type,item_id,config,config_ts,value,name
tsmnode,6777,CfgTsmNodeBackup_initiation,2021-02-12 22:40:56,ALL,AIDB2
tsmnode,6777,CfgTsmNodeClientVersion,2021-02-12 22:40:56,7.1.8.5,AIDB2
tsmnode,6777,CfgTsmNodeClient_hla,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeClient_lla,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeClient_os_level,2021-02-12 22:40:56,6.01,AIDB2
tsmnode,6777,CfgTsmNodeClient_os_name,2021-02-12 22:40:56,WIN:Microsoft Windows Server 2008 R2 Enterprise ,AIDB2
tsmnode,6777,CfgTsmNodeClient_products,2021-02-12 22:40:56,BA,AIDB2
tsmnode,6777,CfgTsmNodeClient_system_architecture,2021-02-12 22:40:56,x64,AIDB2
tsmnode,6777,CfgTsmNodeClient_target_level,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeClient_target_release,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeClient_target_sublevel,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeClient_target_version,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeCollocgroup_name,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeCompression,2021-02-12 22:40:56,CLIENT,AIDB2
tsmnode,6777,CfgTsmNodeContact,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeDatareadpath,2021-02-12 22:40:56,ANY,AIDB2
tsmnode,6777,CfgTsmNodeDatawritepath,2021-02-12 22:40:56,ANY,AIDB2
tsmnode,6777,CfgTsmNodeDecomm_date,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeDecomm_state,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeDeduplication,2021-02-12 22:40:56,ClientOrServer,AIDB2
tsmnode,6777,CfgTsmNodeDomain_name,2021-02-12 22:40:56,CORP-DR,AIDB2
tsmnode,6777,CfgTsmNodeEmail_address,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeGuid,2021-02-12 22:40:56,67.da.71.01.0b.fc.11.e3.96.41.00.50.56.a0.2c.d5,AIDB2
tsmnode,6777,CfgTsmNodeHypervisor,2021-02-12 22:40:56,VMware,AIDB2
tsmnode,6777,CfgTsmNodeInstanceName,2021-02-12 22:40:56,CORP-DR,AIDB2
tsmnode,6777,CfgTsmNodeInvalid_pw_count,2021-02-12 22:40:56,0,AIDB2
